series,date,sector,value
abs,2015-07-01,p5.1.2,1514.0
abs,2015-07-01,p5.1.3,10567.0
abs,2015-07-01,p5.1.4,15994.0
abs,2015-07-01,p5.2,56038.0
abs,2015-07-01,p5.2.1,47041.0
abs,2015-07-01,p5.2.1.1,21642.0
abs,2015-07-01,p5.2.1.2,18930.0
abs,2015-07-01,p5.2.1.3,6469.0
abs,2015-07-01,p5.2.2,6967.0
abs,2015-07-01,p5.2.3,2030.0
abs,2015-07-01,p5.3,32045.0
abs,2015-07-01,p5.3.1,14962.0
abs,2015-07-01,p5.3.2,4322.0
abs,2015-07-01,p5.3.3,4453.0
abs,2015-07-01,p5.3.4,8308.0
abs,2015-07-01,p5.4,14571.0
abs,2015-07-01,p5.4.1,2026.0
abs,2015-07-01,p5.4.2,2410.0
abs,2015-07-01,p5.4.6,10135.0
abs,2015-07-01,p5.5,24906.0
abs,2015-07-01,p6,3660.0
abs,2015-10-01,p0,307745.0
abs,2015-10-01,p1,24161.0
abs,2015-10-01,p1.1,15941.0
abs,2015-10-01,p1.1.1,917.0
abs,2015-10-01,p1.1.2,9902.0
abs,2015-10-01,p1.1.7,5122.0
abs,2015-10-01,p1.2,3278.0
abs,2015-10-01,p1.3,2062.0
abs,2015-10-01,p1.4,2879.0
abs,2015-10-01,p1.4.1,1841.0
abs,2015-10-01,p1.4.2,1038.0
abs,2015-10-01,p2,26191.0
abs,2015-10-01,p2.1,11578.0
abs,2015-10-01,p2.2,12643.0
abs,2015-10-01,p2.3,1970.0
abs,2015-10-01,p3,68500.0
abs,2015-10-01,p3.1,8408.0
abs,2015-10-01,p3.1.1,3038.0
abs,2015-10-01,p3.1.2,3526.0
abs,2015-10-01,p3.1.3,1101.0
abs,2015-10-01,p3.1.4,743.0
abs,2015-10-01,p3.2,1217.0
abs,2015-10-01,p3.2.1,1085.0
abs,2015-10-01,p3.2.2,132.0
abs,2015-10-01,p3.3,3542.0
abs,2015-10-01,p3.3.1,1673.0
abs,2015-10-01,p3.3.2,879.0
abs,2015-10-01,p3.3.3,990.0
abs,2015-10-01,p3.4,20622.0
abs,2015-10-01,p3.4.1,8929.0
abs,2015-10-01,p3.4.2,7674.0
abs,2015-10-01,p3.4.3,1867.0
abs,2015-10-01,p3.4.4,2152.0
abs,2015-10-01,p3.5,7668.0
abs,2015-10-01,p3.5.1,2565.0
abs,2015-10-01,p3.5.2,1799.0
abs,2015-10-01,p3.5.3,3304.0
abs,2015-10-01,p3.6,18297.0
abs,2015-10-01,p3.6.1,1748.0
abs,2015-10-01,p3.6.2,1411.0
abs,2015-10-01,p3.6.3,1399.0
abs,2015-10-01,p3.6.4,12423.0
abs,2015-10-01,p3.6.5,1316.0
abs,2015-10-01,p3.7,8745.0
abs,2015-10-01,p3.7.1,6687.0
abs,2015-10-01,p3.7.2,982.0
abs,2015-10-01,p3.7.3,1076.0
abs,2015-10-01,p4,14395.0
abs,2015-10-01,p4.1,8259.0
abs,2015-10-01,p4.1.1,4027.0
abs,2015-10-01,p4.1.2,4232.0
abs,2015-10-01,p4.2,3817.0
abs,2015-10-01,p4.3,2320.0
abs,2015-10-01,p5,170292.0
abs,2015-10-01,p5.1,34812.0
abs,2015-10-01,p5.1.1,6485.0
abs,2015-10-01,p5.1.2,1552.0
abs,2015-10-01,p5.1.3,11057.0
abs,2015-10-01,p5.1.4,15718.0
abs,2015-10-01,p5.2,59338.0
abs,2015-10-01,p5.2.1,49675.0
abs,2015-10-01,p5.2.1.1,22057.0
abs,2015-10-01,p5.2.1.2,21385.0
abs,2015-10-01,p5.2.1.3,6233.0
abs,2015-10-01,p5.2.2,7615.0
abs,2015-10-01,p5.2.3,2048.0
abs,2015-10-01,p5.3,33692.0
abs,2015-10-01,p5.3.1,15275.0
abs,2015-10-01,p5.3.2,5048.0
abs,2015-10-01,p5.3.3,4474.0
abs,2015-10-01,p5.3.4,8895.0
abs,2015-10-01,p5.4,14693.0
abs,2015-10-01,p5.4.1,2034.0
abs,2015-10-01,p5.4.2,2418.0
abs,2015-10-01,p5.4.6,10241.0
abs,2015-10-01,p5.5,27756.0
abs,2015-10-01,p6,4207.0
abs,2016-01-01,p0,294329.0
abs,2016-01-01,p1,21208.0
abs,2016-01-01,p1.1,13107.0
abs,2016-01-01,p1.1.1,866.0
abs,2016-01-01,p1.1.2,6557.0
abs,2016-01-01,p1.1.7,5684.0
abs,2016-01-01,p1.2,3182.0
abs,2016-01-01,p1.3,1960.0
abs,2016-01-01,p1.4,2959.0
abs,2016-01-01,p1.4.1,2019.0
abs,2016-01-01,p1.4.2,940.0
abs,2016-01-01,p2,26586.0
abs,2016-01-01,p2.1,12253.0
abs,2016-01-01,p2.2,12389.0
abs,2016-01-01,p2.3,1943.0
abs,2016-01-01,p3,65146.0
abs,2016-01-01,p3.1,7327.0
abs,2016-01-01,p3.1.1,2267.0
abs,2016-01-01,p3.1.2,3371.0
abs,2016-01-01,p3.1.3,949.0
abs,2016-01-01,p3.1.4,740.0
abs,2016-01-01,p3.2,1213.0
abs,2016-01-01,p3.2.1,1038.0
abs,2016-01-01,p3.2.2,175.0
abs,2016-01-01,p3.3,3528.0
abs,2016-01-01,p3.3.1,1580.0
abs,2016-01-01,p3.3.2,1018.0
abs,2016-01-01,p3.3.3,930.0
abs,2016-01-01,p3.4,19202.0
abs,2016-01-01,p3.4.1,8691.0
abs,2016-01-01,p3.4.2,7148.0
abs,2016-01-01,p3.4.3,1252.0
abs,2016-01-01,p3.4.4,2111.0
abs,2016-01-01,p3.5,7582.0
abs,2016-01-01,p3.5.1,2359.0
abs,2016-01-01,p3.5.2,1568.0
abs,2016-01-01,p3.5.3,3655.0
abs,2016-01-01,p3.6,19643.0
abs,2016-01-01,p3.6.1,2766.0
abs,2016-01-01,p3.6.2,1395.0
abs,2016-01-01,p3.6.3,1326.0
abs,2016-01-01,p3.6.4,13146.0
abs,2016-01-01,p3.6.5,1010.0
abs,2016-01-01,p3.7,6651.0
abs,2016-01-01,p3.7.1,4726.0
abs,2016-01-01,p3.7.2,1092.0
abs,2016-01-01,p3.7.3,833.0
abs,2016-01-01,p4,14825.0
abs,2016-01-01,p4.1,7755.0
abs,2016-01-01,p4.1.1,4110.0
abs,2016-01-01,p4.1.2,3645.0
abs,2016-01-01,p4.2,4462.0
abs,2016-01-01,p4.3,2607.0
abs,2016-01-01,p5,162558.0
abs,2016-01-01,p5.1,35234.0
abs,2016-01-01,p5.1.1,6616.0
abs,2016-01-01,p5.1.2,1536.0
abs,2016-01-01,p5.1.3,10789.0
abs,2016-01-01,p5.1.4,16293.0
abs,2016-01-01,p5.2,54972.0
abs,2016-01-01,p5.2.1,45667.0
abs,2016-01-01,p5.2.1.1,19874.0
abs,2016-01-01,p5.2.1.2,20730.0
abs,2016-01-01,p5.2.1.3,5063.0
abs,2016-01-01,p5.2.2,7366.0
abs,2016-01-01,p5.2.3,1939.0
abs,2016-01-01,p5.3,33133.0
abs,2016-01-01,p5.3.1,14963.0
abs,2016-01-01,p5.3.2,4852.0
abs,2016-01-01,p5.3.3,4480.0
abs,2016-01-01,p5.3.4,8838.0
abs,2016-01-01,p5.4,14750.0
abs,2016-01-01,p5.4.1,2015.0
abs,2016-01-01,p5.4.2,2296.0
abs,2016-01-01,p5.4.6,10439.0
abs,2016-01-01,p5.5,24467.0
abs,2016-01-01,p6,4006.0
abs,2016-04-01,p0,301015.0
abs,2016-04-01,p1,22617.0
abs,2016-04-01,p1.1,14320.0
abs,2016-04-01,p1.1.1,593.0
abs,2016-04-01,p1.1.2,7719.0
abs,2016-04-01,p1.1.7,6008.0
abs,2016-04-01,p1.2,3188.0
abs,2016-04-01,p1.3,2183.0
abs,2016-04-01,p1.4,2928.0
abs,2016-04-01,p1.4.1,1920.0
abs,2016-04-01,p1.4.2,1008.0
abs,2016-04-01,p2,26313.0
abs,2016-04-01,p2.1,11849.0
abs,2016-04-01,p2.2,12512.0
abs,2016-04-01,p2.3,1952.0
abs,2016-04-01,p3,68160.0
abs,2016-04-01,p3.1,8531.0
abs,2016-04-01,p3.1.1,2624.0
abs,2016-04-01,p3.1.2,3603.0
abs,2016-04-01,p3.1.3,1210.0
abs,2016-04-01,p3.1.4,1094.0
abs,2016-04-01,p3.2,1446.0
abs,2016-04-01,p3.2.1,1239.0
abs,2016-04-01,p3.2.2,207.0
abs,2016-04-01,p3.3,3603.0
abs,2016-04-01,p3.3.1,1653.0
abs,2016-04-01,p3.3.2,1075.0
abs,2016-04-01,p3.3.3,875.0
abs,2016-04-01,p3.4,19881.0
abs,2016-04-01,p3.4.1,9069.0
abs,2016-04-01,p3.4.2,7045.0
abs,2016-04-01,p3.4.3,1636.0
abs,2016-04-01,p3.4.4,2131.0
abs,2016-04-01,p3.5,8959.0
abs,2016-04-01,p3.5.1,2892.0
abs,2016-04-01,p3.5.2,2037.0
abs,2016-04-01,p3.5.3,4030.0
abs,2016-04-01,p3.6,18035.0
abs,2016-04-01,p3.6.1,2072.0
abs,2016-04-01,p3.6.2,1340.0
abs,2016-04-01,p3.6.3,1570.0
abs,2016-04-01,p3.6.4,11751.0
abs,2016-04-01,p3.6.5,1302.0
abs,2016-04-01,p3.7,7704.0
abs,2016-04-01,p3.7.1,5762.0
abs,2016-04-01,p3.7.2,1149.0
abs,2016-04-01,p3.7.3,793.0
abs,2016-04-01,p4,14083.0
abs,2016-04-01,p4.1,7381.0
abs,2016-04-01,p4.1.1,3815.0
abs,2016-04-01,p4.1.2,3566.0
abs,2016-04-01,p4.2,4218.0
abs,2016-04-01,p4.3,2484.0
abs,2016-04-01,p5,165993.0
abs,2016-04-01,p5.1,36173.0
abs,2016-04-01,p5.1.1,6870.0
abs,2016-04-01,p5.1.2,1538.0
abs,2016-04-01,p5.1.3,10877.0
abs,2016-04-01,p5.1.4,16888.0
abs,2016-04-01,p5.2,56335.0
abs,2016-04-01,p5.2.1,46901.0
abs,2016-04-01,p5.2.1.1,21873.0
abs,2016-04-01,p5.2.1.2,19907.0
abs,2016-04-01,p5.2.1.3,5121.0
abs,2016-04-01,p5.2.2,7418.0
abs,2016-04-01,p5.2.3,2016.0
abs,2016-04-01,p5.3,33300.0
abs,2016-04-01,p5.3.1,14905.0
abs,2016-04-01,p5.3.2,4728.0
abs,2016-04-01,p5.3.3,4553.0
abs,2016-04-01,p5.3.4,9114.0
abs,2016-04-01,p5.4,15036.0
abs,2016-04-01,p5.4.1,2174.0
abs,2016-04-01,p5.4.2,2410.0
abs,2016-04-01,p5.4.6,10452.0
abs,2016-04-01,p5.5,25149.0
abs,2016-04-01,p6,3848.0
abs,2016-07-01,p0,311510.0
abs,2016-07-01,p1,26404.0
abs,2016-07-01,p1.1,16880.0
abs,2016-07-01,p1.1.1,753.0
abs,2016-07-01,p1.1.2,9596.0
abs,2016-07-01,p1.1.7,6531.0
abs,2016-07-01,p1.2,3478.0
abs,2016-07-01,p1.3,2408.0
abs,2016-07-01,p1.4,3638.0
abs,2016-07-01,p1.4.1,2527.0
abs,2016-07-01,p1.4.2,1111.0
abs,2016-07-01,p2,24927.0
abs,2016-07-01,p2.1,11142.0
abs,2016-07-01,p2.2,11817.0
abs,2016-07-01,p2.3,1968.0
abs,2016-07-01,p3,68630.0
abs,2016-07-01,p3.1,8770.0
abs,2016-07-01,p3.1.1,3015.0
abs,2016-07-01,p3.1.2,3586.0
abs,2016-07-01,p3.1.3,1183.0
abs,2016-07-01,p3.1.4,986.0
abs,2016-07-01,p3.2,1317.0
abs,2016-07-01,p3.2.1,1155.0
abs,2016-07-01,p3.2.2,162.0
abs,2016-07-01,p3.3,3645.0
abs,2016-07-01,p3.3.1,1741.0
abs,2016-07-01,p3.3.2,1076.0
abs,2016-07-01,p3.3.3,828.0
abs,2016-07-01,p3.4,20997.0
abs,2016-07-01,p3.4.1,8533.0
abs,2016-07-01,p3.4.2,7803.0
abs,2016-07-01,p3.4.3,1863.0
abs,2016-07-01,p3.4.4,2798.0
abs,2016-07-01,p3.5,8373.0
abs,2016-07-01,p3.5.1,2866.0
abs,2016-07-01,p3.5.2,1984.0
abs,2016-07-01,p3.5.3,3523.0
abs,2016-07-01,p3.6,18215.0
abs,2016-07-01,p3.6.1,2034.0
abs,2016-07-01,p3.6.2,1364.0
abs,2016-07-01,p3.6.3,1204.0
abs,2016-07-01,p3.6.4,12363.0
abs,2016-07-01,p3.6.5,1250.0
abs,2016-07-01,p3.7,7313.0
abs,2016-07-01,p3.7.1,5095.0
abs,2016-07-01,p3.7.2,1004.0
abs,2016-07-01,p3.7.3,1214.0
abs,2016-07-01,p4,15478.0
abs,2016-07-01,p4.1,8061.0
abs,2016-07-01,p4.1.1,4311.0
abs,2016-07-01,p4.1.2,3750.0
abs,2016-07-01,p4.2,4913.0
abs,2016-07-01,p4.3,2505.0
abs,2016-07-01,p5,172206.0
abs,2016-07-01,p5.1,36807.0
abs,2016-07-01,p5.1.1,6880.0
abs,2016-07-01,p5.1.2,1614.0
abs,2016-07-01,p5.1.3,11119.0
abs,2016-07-01,p5.1.4,17194.0
abs,2016-07-01,p5.2,59970.0
abs,2016-07-01,p5.2.1,50293.0
abs,2016-07-01,p5.2.1.1,23625.0
abs,2016-07-01,p5.2.1.2,20378.0
abs,2016-07-01,p5.2.1.3,6290.0
abs,2016-07-01,p5.2.2,7539.0
abs,2016-07-01,p5.2.3,2138.0
abs,2016-07-01,p5.3,33924.0
abs,2016-07-01,p5.3.1,15298.0
abs,2016-07-01,p5.3.2,4977.0
abs,2016-07-01,p5.3.3,4674.0
abs,2016-07-01,p5.3.4,8975.0
abs,2016-07-01,p5.4,15307.0
abs,2016-07-01,p5.4.1,2136.0
abs,2016-07-01,p5.4.2,2572.0
abs,2016-07-01,p5.4.6,10599.0
abs,2016-07-01,p5.5,26199.0
abs,2016-07-01,p6,3865.0
abs,2016-10-01,p0,322458.0
abs,2016-10-01,p1,23748.0
abs,2016-10-01,p1.1,15441.0
abs,2016-10-01,p1.1.1,927.0
abs,2016-10-01,p1.1.2,9190.0
abs,2016-10-01,p1.1.7,5324.0
abs,2016-10-01,p1.2,3307.0
abs,2016-10-01,p1.3,2091.0
abs,2016-10-01,p1.4,2909.0
abs,2016-10-01,p1.4.1,1914.0
abs,2016-10-01,p1.4.2,995.0
abs,2016-10-01,p2,27542.0
abs,2016-10-01,p2.1,11577.0
abs,2016-10-01,p2.2,13889.0
abs,2016-10-01,p2.3,2076.0
abs,2016-10-01,p3,71962.0
abs,2016-10-01,p3.1,9049.0
abs,2016-10-01,p3.1.1,3429.0
abs,2016-10-01,p3.1.2,3673.0
abs,2016-10-01,p3.1.3,1214.0
abs,2016-10-01,p3.1.4,733.0
abs,2016-10-01,p3.2,1288.0
abs,2016-10-01,p3.2.1,1152.0
abs,2016-10-01,p3.2.2,136.0
abs,2016-10-01,p3.3,3677.0
abs,2016-10-01,p3.3.1,1726.0
abs,2016-10-01,p3.3.2,897.0
abs,2016-10-01,p3.3.3,1054.0
abs,2016-10-01,p3.4,21636.0
abs,2016-10-01,p3.4.1,9228.0
abs,2016-10-01,p3.4.2,8243.0
abs,2016-10-01,p3.4.3,1891.0
abs,2016-10-01,p3.4.4,2274.0
abs,2016-10-01,p3.5,7993.0
abs,2016-10-01,p3.5.1,2662.0
abs,2016-10-01,p3.5.2,1886.0
abs,2016-10-01,p3.5.3,3445.0
abs,2016-10-01,p3.6,19664.0
abs,2016-10-01,p3.6.1,1882.0
abs,2016-10-01,p3.6.2,1527.0
abs,2016-10-01,p3.6.3,1499.0
abs,2016-10-01,p3.6.4,13381.0
abs,2016-10-01,p3.6.5,1375.0
abs,2016-10-01,p3.7,8657.0
abs,2016-10-01,p3.7.1,6536.0
abs,2016-10-01,p3.7.2,1074.0
abs,2016-10-01,p3.7.3,1047.0
abs,2016-10-01,p4,15121.0
abs,2016-10-01,p4.1,8547.0
abs,2016-10-01,p4.1.1,4312.0
abs,2016-10-01,p4.1.2,4235.0
abs,2016-10-01,p4.2,4198.0
abs,2016-10-01,p4.3,2376.0
abs,2016-10-01,p5,179805.0
abs,2016-10-01,p5.1,36963.0
abs,2016-10-01,p5.1.1,6709.0
abs,2016-10-01,p5.1.2,1649.0
abs,2016-10-01,p5.1.3,11678.0
abs,2016-10-01,p5.1.4,16927.0
abs,2016-10-01,p5.2,63259.0
abs,2016-10-01,p5.2.1,52844.0
abs,2016-10-01,p5.2.1.1,23634.0
abs,2016-10-01,p5.2.1.2,23087.0
abs,2016-10-01,p5.2.1.3,6123.0
abs,2016-10-01,p5.2.2,8252.0
abs,2016-10-01,p5.2.3,2163.0
